jpg_filename,source_stem,grid_row,grid_col,eval_h,eval_w,eval_diag_px,n_manual_polymers,n_model_ccs,n_matched_pairs,manual_total_len_px,model_skeleton_total_px,model_major_axis_total_px
D16_03_1_7_Bright Field_001_LHi (129)__y1031_x1481_h90_w90.jpg,D16_03_1_7_Bright Field_001_LHi (129),0,0,90,90,127.27922061357856,2,3,2,54.249296929869615,69,86.45153195066362
D16_03_1_7_Bright Field_001_LHi (137)__y234_x1538_h64_w64.jpg,D16_03_1_7_Bright Field_001_LHi (137),0,1,64,64,90.50966799187809,1,2,1,18.973665961010276,25,33.89315029220612
D16_03_1_7_Bright Field_001_LHi (139)__y1530_x545_h64_w64.jpg,D16_03_1_7_Bright Field_001_LHi (139),0,2,64,64,90.50966799187809,3,1,1,32.266318289457566,9,13.41376891904286
D16_03_1_7_Bright Field_001_LHi (155)__y913_x1459_h87_w87.jpg,D16_03_1_7_Bright Field_001_LHi (155),0,3,87,87,123.03657992645927,1,1,1,38.27531841800928,34,47.542405495229914
D16_03_1_7_Bright Field_001_LHi (161)__y753_x1280_h123_w123.jpg,D16_03_1_7_Bright Field_001_LHi (161),0,4,123,123,173.9482681718907,1,1,1,70.25667228100119,73,83.73763435133189
D16_03_1_7_Bright Field_001_LHi (163)__y228_x414_h64_w64.jpg,D16_03_1_7_Bright Field_001_LHi (163),0,5,64,64,90.50966799187809,3,3,3,47.89428822388995,38,51.93807943751954
D16_03_1_7_Bright Field_002__y1279_x395_h89_w89.jpg,D16_03_1_7_Bright Field_002,1,5,89,89,125.86500705120545,1,1,1,31.32091952673165,32,40.20869834815995
D16_03_1_7_Bright Field_001_LHi (88)__y418_x1202_h77_w77.jpg,D16_03_1_7_Bright Field_001_LHi (88),1,4,77,77,108.89444430272832,1,1,1,28.319604517012593,28,42.79430348976636
D16_03_1_7_Bright Field_001_LHi (80)__y1148_x1794_h116_w116.jpg,D16_03_1_7_Bright Field_001_LHi (80),1,3,116,116,164.04877323527901,1,1,1,66.70832032063167,66,70.22335582593743
D16_03_1_7_Bright Field_001_LHi (8)__y933_x480_h89_w89.jpg,D16_03_1_7_Bright Field_001_LHi (8),1,2,89,89,125.86500705120545,3,3,3,119.23007365705098,113,134.5235499716822
D16_03_1_7_Bright Field_001_LHi (26)__y966_x756_h128_w128.jpg,D16_03_1_7_Bright Field_001_LHi (26),1,1,128,128,181.01933598375618,1,1,1,138.29660304296394,129,161.68338847124502
D16_03_1_7_Bright Field_001_LHi (172)__y934_x1203_h91_w91.jpg,D16_03_1_7_Bright Field_001_LHi (172),0,9,91,91,128.69343417595164,2,2,2,77.78506769432155,63,85.85757268993211
G21_03_1_11_Bright Field_002__y1538_x71_h128_w128.jpg,G21_03_1_11_Bright Field_002,1,8,128,128,181.01933598375618,2,2,2,147.3796856221211,112,147.88226594051375
G21_03_1_14_Bright Field_001__y864_x511_h65_w65.jpg,G21_03_1_14_Bright Field_001,1,9,65,65,91.92388155425118,1,4,1,17.029386365926403,43,57.79211931905496
G21_03_1_11_Bright Field_001__y1183_x248_h96_w96.jpg,G21_03_1_11_Bright Field_001,1,7,96,96,135.7645019878171,3,2,2,97.27606595846447,71,82.3916736627639
G21_03_1_10_Bright Field_002__y1780_x246_h128_w128.jpg,G21_03_1_10_Bright Field_002,1,6,128,128,181.01933598375618,1,2,1,85.14693182963201,106,123.93464042332779
H20_03_1_10_Bright Field_001__y795_x640_h107_w107.jpg,H20_03_1_10_Bright Field_001,2,9,107,107,151.32085117392117,2,5,2,117.75127307313001,115,150.4912299506792
H20_03_1_1_Bright Field_001__y626_x516_h64_w64.jpg,H20_03_1_1_Bright Field_001,3,9,64,64,90.50966799187809,2,3,2,33.82262320008479,26,38.839581575443816
G21_03_1_8_Bright Field_001__y846_x1255_h66_w66.jpg,G21_03_1_8_Bright Field_001,2,8,66,66,93.33809511662427,3,4,3,61.22964214361537,71,90.39303629706684
H20_03_1_16_Bright Field_002__y151_x1431_h98_w98.jpg,H20_03_1_16_Bright Field_002,3,8,98,98,138.59292911256333,1,1,1,90.68627239003708,48,67.09238519853808
H20_03_1_15_Bright Field_002__y898_x1070_h64_w64.jpg,H20_03_1_15_Bright Field_002,3,7,64,64,90.50966799187809,1,1,1,41.249457590122184,38,43.73922416803216
G21_03_1_7_Bright Field_002__y1563_x1553_h110_w110.jpg,G21_03_1_7_Bright Field_002,2,7,110,110,155.56349186104046,1,1,1,62.81719509815764,60,66.21010183189459
G21_03_1_6_Bright Field_002__y1500_x364_h128_w128.jpg,G21_03_1_6_Bright Field_002,2,5,128,128,181.01933598375618,1,2,1,100.87561556696105,87,99.20414339401727
G21_03_1_7_Bright Field_001__y1796_x356_h89_w89.jpg,G21_03_1_7_Bright Field_001,2,6,89,89,125.86500705120545,1,1,1,55.90169943749474,36,52.30655796246295
H20_03_1_15_Bright Field_001__y947_x86_h65_w65.jpg,H20_03_1_15_Bright Field_001,3,6,65,65,91.92388155425118,1,1,1,15.0,7,18.369456993856495
H20_03_1_14_Bright Field_001__y504_x257_h128_w128.jpg,H20_03_1_14_Bright Field_001,3,5,128,128,181.01933598375618,3,3,3,155.3800111995945,136,165.4608211000347
H20_03_1_12_Bright Field_002__y1494_x50_h64_w64.jpg,H20_03_1_12_Bright Field_002,3,4,64,64,90.50966799187809,2,1,1,31.06451592025431,4,4.47213595499958
G21_03_1_5_Bright Field_002__y1153_x1324_h109_w109.jpg,G21_03_1_5_Bright Field_002,2,4,109,109,154.14927829866735,1,1,1,60.00833275470999,58,69.22191340927725
G21_03_1_2_Bright Field_002__y100_x538_h128_w128.jpg,G21_03_1_2_Bright Field_002,2,1,128,128,181.01933598375618,1,1,1,109.41663493271945,88,104.99904732934769
G21_03_1_3_Bright Field_001__y1144_x1282_h75_w75.jpg,G21_03_1_3_Bright Field_001,2,2,75,75,106.06601717798213,3,3,3,74.60935681028309,63,74.41207994092764
G21_03_1_4_Bright Field_001__y1659_x1050_h69_w69.jpg,G21_03_1_4_Bright Field_001,2,3,69,69,97.58073580374356,1,1,1,15.264337522473747,17,23.414601149131787
H20_03_1_12_Bright Field_001__y1559_x525_h99_w99.jpg,H20_03_1_12_Bright Field_001,3,3,99,99,140.0071426749364,3,2,2,85.80411671846049,55,62.0355985258454
H20_03_1_11_Bright Field_002__y1664_x506_h77_w77.jpg,H20_03_1_11_Bright Field_002,3,2,77,77,108.89444430272832,4,6,4,87.79484717063583,95,127.42079596022246
H20_03_1_11_Bright Field_001__y1452_x306_h101_w101.jpg,H20_03_1_11_Bright Field_001,3,1,101,101,142.8355697996826,2,3,2,68.56527074125738,55,67.27599947608158
G21_03_1_15_Bright Field_001__y1675_x1475_h73_w73.jpg,G21_03_1_15_Bright Field_001,2,0,73,73,103.23759005323593,4,4,4,107.18184297014083,75,104.64325516049314
H20_03_1_10_Bright Field_002__y1508_x1743_h105_w105.jpg,H20_03_1_10_Bright Field_002,3,0,105,105,148.49242404917499,2,3,2,93.7201861999838,131,133.70312224977408
H20_03_1_1_Bright Field_002__y1267_x771_h94_w94.jpg,H20_03_1_1_Bright Field_002,4,0,94,94,132.93607486307093,1,1,1,46.32493928760188,46,51.60146440653629
H20_03_1_2_Bright Field_002__y812_x327_h101_w101.jpg,H20_03_1_2_Bright Field_002,4,1,101,101,142.8355697996826,3,4,3,75.59717688112963,96,91.77167752343766
H20_03_1_3_Bright Field_001__y1685_x1298_h69_w69.jpg,H20_03_1_3_Bright Field_001,4,2,69,69,97.58073580374356,2,2,2,52.388889460878815,36,48.76677969515015
I20_03_1_11_Bright Field_001__y1857_x869_h64_w64.jpg,I20_03_1_11_Bright Field_001,5,1,64,64,90.50966799187809,1,1,1,14.724047604333226,12,13.101138653745512
I20_03_1_11_Bright Field_002__y1569_x945_h66_w66.jpg,I20_03_1_11_Bright Field_002,5,2,66,66,93.33809511662427,2,2,2,46.818058692201234,35,51.54458285473501
I20_03_1_12_Bright Field_002__y1784_x1149_h124_w124.jpg,I20_03_1_12_Bright Field_002,5,3,124,124,175.36248173426378,2,2,2,122.53904779339621,148,165.53638618359406
H20_03_1_3_Bright Field_002__y641_x302_h85_w85.jpg,H20_03_1_3_Bright Field_002,4,3,85,85,120.20815280171308,4,2,2,84.53305365423188,46,60.62873672178619
I20_03_1_13_Bright Field_001__y932_x169_h83_w83.jpg,I20_03_1_13_Bright Field_001,5,4,83,83,117.37972567696688,1,1,1,41.182520563948,36,46.56254951372119
I20_03_1_1_Bright Field_001__y1825_x673_h98_w98.jpg,I20_03_1_1_Bright Field_001,5,5,98,98,138.59292911256333,2,2,2,101.1180155846566,97,130.48470705341038
H20_03_1_5_Bright Field_002__y924_x492_h80_w80.jpg,H20_03_1_5_Bright Field_002,4,5,80,80,113.13708498984761,2,2,2,74.15561648020996,62,75.59598998421481
H20_03_1_4_Bright Field_001__y1396_x206_h64_w64.jpg,H20_03_1_4_Bright Field_001,4,4,64,64,90.50966799187809,5,2,2,127.45041331863823,127,77.98404022075913
H20_03_1_6_Bright Field_001__y688_x496_h96_w96.jpg,H20_03_1_6_Bright Field_001,4,6,96,96,135.7645019878171,2,2,2,98.84413959194944,69,59.23832301491574
H20_03_1_6_Bright Field_002__y618_x292_h101_w101.jpg,H20_03_1_6_Bright Field_002,4,7,101,101,142.8355697996826,2,5,2,126.06152482081714,65,97.01525028475122
H20_03_1_8_Bright Field_001__y148_x1423_h64_w64.jpg,H20_03_1_8_Bright Field_001,4,8,64,64,90.50966799187809,1,2,1,29.657593135291766,32,41.19204629344212
H20_03_1_8_Bright Field_002__y265_x1565_h110_w110.jpg,H20_03_1_8_Bright Field_002,4,9,110,110,155.56349186104046,4,6,4,169.1756151023685,199,245.16706273228294
I20_03_1_2_Bright Field_001__y1813_x1122_h118_w118.jpg,I20_03_1_2_Bright Field_001,5,7,118,118,166.87720036002523,4,2,2,286.2799378428215,132,134.24006702248164
I20_03_1_3_Bright Field_001__y871_x1531_h64_w64.jpg,I20_03_1_3_Bright Field_001,5,8,64,64,90.50966799187809,1,3,1,31.88220277075637,45,52.9037886480174
I20_03_1_3_Bright Field_002__y1777_x425_h67_w67.jpg,I20_03_1_3_Bright Field_002,5,9,67,67,94.75230867899737,1,1,1,20.615528128088304,13,16.670577108640376
J20_03_1_15_Bright Field_001__y568_x1300_h76_w76.jpg,J20_03_1_15_Bright Field_001,6,9,76,76,107.48023074035522,1,2,1,36.069377593742864,32,48.57921315981514
J20_03_1_11_Bright Field_001__y936_x1080_h97_w97.jpg,J20_03_1_11_Bright Field_001,6,8,97,97,137.17871555019022,1,2,1,77.78174593052023,60,84.03740802837753
I20_03_1_1_Bright Field_002__y1424_x884_h100_w100.jpg,I20_03_1_1_Bright Field_002,5,6,100,100,141.4213562373095,2,2,2,67.15596522113232,59,75.43636613650966
I20_03_1_8_Bright Field_001__y1360_x1835_h95_w95.jpg,I20_03_1_8_Bright Field_001,6,6,95,95,134.35028842544403,2,2,2,95.05506946943899,82,97.34712626067935
I20_03_1_9_Bright Field_001__y1847_x1495_h74_w74.jpg,I20_03_1_9_Bright Field_001,6,7,74,74,104.65180361560904,2,2,2,68.09909965411869,57,76.92596314511945
I20_03_1_7_Bright Field_002__y1338_x1417_h128_w128.jpg,I20_03_1_7_Bright Field_002,6,5,128,128,181.01933598375618,1,1,1,119.50732195141852,126,141.90707067697267
I20_03_1_7_Bright Field_001__y1563_x1288_h66_w66.jpg,I20_03_1_7_Bright Field_001,6,4,66,66,93.33809511662427,2,2,2,63.48102206817694,42,53.80005509361125
I20_03_1_6_Bright Field_002__y676_x388_h80_w80.jpg,I20_03_1_6_Bright Field_002,6,3,80,80,113.13708498984761,2,2,2,46.89881433204935,45,57.27812038603143
I20_03_1_5_Bright Field_001__y279_x660_h101_w101.jpg,I20_03_1_5_Bright Field_001,6,2,101,101,142.8355697996826,2,2,2,106.72995646496702,96,132.77241103997935
I20_03_1_4_Bright Field_002__y1175_x1841_h66_w66.jpg,I20_03_1_4_Bright Field_002,6,1,66,66,93.33809511662427,2,2,2,30.291182163263773,31,39.80254210223896
I20_03_1_4_Bright Field_001__y1729_x1018_h121_w121.jpg,I20_03_1_4_Bright Field_001,6,0,121,121,171.1198410471445,1,1,1,58.249463516842795,68,77.06122966856144
J20_03_1_5_Bright Field_002__y1128_x498_h128_w128.jpg,J20_03_1_5_Bright Field_002,7,7,128,128,181.01933598375618,1,2,1,110.39021695784459,90,138.1657480344568
J20_03_1_7_Bright Field_001__y1673_x625_h85_w85.jpg,J20_03_1_7_Bright Field_001,7,9,85,85,120.20815280171308,3,3,3,110.11166427441816,112,121.85005782010057
K20_03_1_14_Bright Field_001__y713_x782_h128_w128.jpg,K20_03_1_14_Bright Field_001,8,7,128,128,181.01933598375618,3,2,2,161.8258096334753,114,128.1576407498634
K20_03_1_3_Bright Field_001__y864_x1478_h64_w64.jpg,K20_03_1_3_Bright Field_001,8,9,64,64,90.50966799187809,4,6,4,62.543871420628086,72,95.99778458574801
K20_03_1_9_Bright Field_002__y1449_x817_h106_w106.jpg,K20_03_1_9_Bright Field_002,9,9,106,106,149.90663761154806,2,2,2,127.60181525411281,113,121.81753961803429
K20_03_1_1_Bright Field_002__y652_x284_h128_w128.jpg,K20_03_1_1_Bright Field_002,8,8,128,128,181.01933598375618,1,1,1,93.74433316206373,85,98.57182342289275
K20_03_1_9_Bright Field_001__y1512_x801_h127_w127.jpg,K20_03_1_9_Bright Field_001,9,8,127,127,179.60512242138307,2,3,2,174.27235992947266,163,214.39620970817452
K20_03_1_8_Bright Field_002__y1028_x1666_h100_w100.jpg,K20_03_1_8_Bright Field_002,9,7,100,100,141.4213562373095,1,1,1,49.47726750741192,48,52.69367845872357
J20_03_1_5_Bright Field_001__y184_x417_h93_w93.jpg,J20_03_1_5_Bright Field_001,7,6,93,93,131.52186130069785,1,1,1,55.54277630799526,45,51.184295313605254
K20_03_1_11_Bright Field_002__y1163_x1031_h93_w93.jpg,K20_03_1_11_Bright Field_002,8,6,93,93,131.52186130069785,2,2,2,72.296860285218,69,91.38380818332999
K20_03_1_7_Bright Field_001__y1534_x1146_h93_w93.jpg,K20_03_1_7_Bright Field_001,9,6,93,93,131.52186130069785,1,1,1,44.94441010848846,41,54.84759000139082
K20_03_1_6_Bright Field_001__y935_x516_h73_w73.jpg,K20_03_1_6_Bright Field_001,9,5,73,73,103.23759005323593,1,1,1,25.238858928247925,22,30.371293600376216
K20_03_1_11_Bright Field_001__y1163_x1048_h65_w65.jpg,K20_03_1_11_Bright Field_001,8,5,65,65,91.92388155425118,2,1,1,58.0147027033899,54,42.421181802401485
J20_03_1_4_Bright Field_002__y787_x1049_h67_w67.jpg,J20_03_1_4_Bright Field_002,7,5,67,67,94.75230867899737,2,2,2,49.12338825956576,48,68.83402149836063
J20_03_1_4_Bright Field_001__y629_x915_h118_w118.jpg,J20_03_1_4_Bright Field_001,7,4,118,118,166.87720036002523,2,2,2,130.65952013319497,120,141.6138601996742
K20_03_1_5_Bright Field_002__y657_x919_h111_w111.jpg,K20_03_1_5_Bright Field_002,9,4,111,111,156.97770542341354,2,1,1,116.4930795545786,87,61.77920795288878
K20_03_1_10_Bright Field_002__y1000_x1304_h64_w64.jpg,K20_03_1_10_Bright Field_002,8,4,64,64,90.50966799187809,2,2,2,54.755652669765894,37,49.688577152363145
K20_03_1_5_Bright Field_001__y1840_x1056_h64_w64.jpg,K20_03_1_5_Bright Field_001,9,3,64,64,90.50966799187809,2,2,2,34.40879357986924,40,54.1582327227855
K20_03_1_4_Bright Field_002__y621_x1180_h101_w101.jpg,K20_03_1_4_Bright Field_002,9,2,101,101,142.8355697996826,1,1,1,66.48308055437865,49,72.9918434140568
K20_03_1_4_Bright Field_001__y887_x1545_h125_w125.jpg,K20_03_1_4_Bright Field_001,9,1,125,125,176.7766952966369,1,1,1,73.68174807915459,79,81.86055086481609
J20_03_1_9_Bright Field_001__y1154_x1280_h80_w80.jpg,J20_03_1_9_Bright Field_001,8,2,80,80,113.13708498984761,2,2,2,60.035162255189036,50,72.10607951205255
J20_03_1_3_Bright Field_001__y777_x723_h91_w91.jpg,J20_03_1_3_Bright Field_001,7,3,91,91,128.69343417595164,3,4,3,143.37103317691432,161,201.39980156174778
J20_03_1_2_Bright Field_001__y651_x1775_h107_w107.jpg,J20_03_1_2_Bright Field_001,7,2,107,107,151.32085117392117,2,2,2,100.83569012380737,76,106.34462272654329
J20_03_1_8_Bright Field_002__y562_x1030_h128_w128.jpg,J20_03_1_8_Bright Field_002,8,1,128,128,181.01933598375618,3,5,3,255.85088579337548,173,206.08979333384588
K20_03_1_3_Bright Field_002__y808_x1526_h76_w76.jpg,K20_03_1_3_Bright Field_002,9,0,76,76,107.48023074035522,3,3,3,49.75598686159331,50,66.6586700710946
J20_03_1_7_Bright Field_002__y1042_x494_h128_w128.jpg,J20_03_1_7_Bright Field_002,8,0,128,128,181.01933598375618,1,1,1,110.30865786510141,77,116.86716291758925
J20_03_1_16_Bright Field_002__y1314_x877_h107_w107.jpg,J20_03_1_16_Bright Field_002,7,0,107,107,151.32085117392117,2,3,2,102.99455273746847,86,110.07939492849266
